date,UNRATE,ICSA,INDPRO,PAYEMS,file for unemployment,unemployment office,jobs near me
2004-01-31,5.7,360200.0,92.4006,130756.0,1.0,21.0,0.0
2004-02-29,5.6,360750.0,92.958,130821.0,1.0,17.0,0.0
2004-03-31,5.8,342000.0,92.5861,131140.0,1.0,16.0,0.0
2004-04-30,5.6,348250.0,92.93,131412.0,0.0,15.0,0.0
2004-05-31,5.6,336200.0,93.6013,131697.0,1.0,13.0,0.0
2004-06-30,5.6,349000.0,92.871,131794.0,1.0,16.0,0.0
2004-07-31,5.5,343000.0,93.5649,131854.0,1.0,17.0,0.0
2004-08-31,5.4,340750.0,93.6277,131939.0,1.0,17.0,0.0
2004-09-30,5.4,337250.0,93.7467,132089.0,1.0,16.0,0.0
2004-10-31,5.5,334000.0,94.5465,132429.0,1.0,15.0,0.0
2004-11-30,5.4,328750.0,94.7813,132503.0,1.0,13.0,0.0
2004-12-31,5.4,325250.0,95.5365,132630.0,1.0,15.0,0.0
2005-01-31,5.3,343400.0,95.8801,132781.0,2.0,17.0,0.0
2005-02-28,5.4,311750.0,96.5761,133034.0,1.0,15.0,0.0
2005-03-31,5.2,332000.0,96.4456,133154.0,1.0,13.0,0.0
2005-04-30,5.2,323200.0,96.6532,133520.0,1.0,13.0,0.0
2005-05-31,5.1,327000.0,96.7402,133689.0,1.0,14.0,0.0
2005-06-30,5.0,325750.0,97.1753,133948.0,1.0,16.0,0.0
2005-07-31,5.0,324400.0,96.8676,134300.0,1.0,15.0,0.0
2005-08-31,4.9,315750.0,97.1833,134502.0,1.0,14.0,0.0
2005-09-30,5.0,382750.0,95.3005,134552.0,1.0,16.0,0.0
2005-10-31,5.0,352200.0,96.4572,134641.0,1.0,14.0,0.0
2005-11-30,5.0,317250.0,97.5414,134997.0,1.0,14.0,0.0
2005-12-31,4.9,316400.0,98.0452,135159.0,1.0,12.0,0.0
2006-01-31,4.7,295750.0,98.1999,135427.0,1.0,17.0,0.0
2006-02-28,4.8,290750.0,98.2413,135733.0,1.0,13.0,0.0
2006-03-31,4.7,301750.0,98.4628,136038.0,1.0,12.0,0.0
2006-04-30,4.7,303600.0,98.7618,136210.0,1.0,12.0,0.0
2006-05-31,4.6,332750.0,98.7869,136249.0,1.0,14.0,0.0
2006-06-30,4.6,305500.0,99.0997,136337.0,1.0,17.0,0.0
2006-07-31,4.7,318800.0,99.0489,136529.0,1.0,16.0,0.0
2006-08-31,4.7,314250.0,99.4836,136692.0,1.0,16.0,0.0
2006-09-30,4.5,316200.0,99.3183,136826.0,1.0,15.0,0.0
2006-10-31,4.4,315500.0,99.2044,136843.0,1.0,16.0,0.0
2006-11-30,4.5,326250.0,99.1627,137060.0,1.0,14.0,0.0
2006-12-31,4.4,324000.0,100.1735,137249.0,1.0,15.0,0.0
2007-01-31,4.6,317250.0,99.8346,137472.0,2.0,20.0,0.0
2007-02-28,4.5,322750.0,100.7753,137560.0,1.0,15.0,0.0
2007-03-31,4.4,309400.0,100.9547,137784.0,1.0,15.0,0.0
2007-04-30,4.5,320250.0,101.6334,137847.0,1.0,15.0,0.0
2007-05-31,4.4,304250.0,101.7306,137992.0,1.0,15.0,0.0
2007-06-30,4.6,315200.0,101.7893,138070.0,1.0,18.0,0.0
2007-07-31,4.7,313250.0,101.6672,138044.0,1.0,19.0,0.0
2007-08-31,4.6,320000.0,101.863,138013.0,1.0,18.0,0.0
2007-09-30,4.7,313400.0,102.0894,138099.0,1.0,16.0,0.0
2007-10-31,4.7,328250.0,101.8015,138175.0,1.0,16.0,0.0
2007-11-30,4.7,336000.0,102.3446,138290.0,2.0,18.0,0.0
2007-12-31,5.0,348200.0,102.3803,138395.0,2.0,17.0,0.0
2008-01-31,5.0,338750.0,102.2448,138391.0,2.0,22.0,0.0
2008-02-29,4.9,346750.0,101.8438,138329.0,2.0,19.0,0.0
2008-03-31,5.1,363400.0,101.5336,138259.0,2.0,18.0,0.0
2008-04-30,5.0,359500.0,100.8785,138040.0,2.0,18.0,0.0
2008-05-31,5.4,366800.0,100.2674,137851.0,2.0,18.0,0.0
2008-06-30,5.6,383250.0,100.0335,137700.0,2.0,19.0,0.0
2008-07-31,5.8,398000.0,99.676,137497.0,3.0,23.0,0.0
2008-08-31,6.1,433000.0,98.1111,137211.0,2.0,24.0,0.0
2008-09-30,6.1,464000.0,93.7895,136760.0,3.0,25.0,0.0
2008-10-31,6.5,475250.0,94.7219,136291.0,3.0,25.0,0.0
2008-11-30,6.8,519800.0,93.4715,135541.0,4.0,26.0,0.0
2008-12-31,7.3,564000.0,90.8357,134847.0,5.0,35.0,0.0
2009-01-31,7.8,572000.0,88.57,134079.0,6.0,42.0,0.0
