date,y_true,y_pred_xgb
2020-01-31,3.6,3.6991017
2020-02-29,3.5,3.6175208
2020-03-31,4.4,3.652198
2020-04-30,14.8,4.659157
2020-05-31,13.2,10.940618
2020-06-30,11.0,9.085577
2020-07-31,10.2,8.580688
2020-08-31,8.4,8.848043
2020-09-30,7.8,8.012376
2020-10-31,6.9,7.791201
2020-11-30,6.7,6.9198275
2020-12-31,6.7,6.585339
2021-01-31,6.4,6.6089153
2021-02-28,6.2,6.4656286
2021-03-31,6.1,6.304382
2021-04-30,6.1,6.1371956
2021-05-31,5.8,6.0480857
2021-06-30,5.9,5.8161607
2021-07-31,5.4,5.7987094
2021-08-31,5.1,5.5810986
2021-09-30,4.7,5.15517
2021-10-31,4.5,4.547439
2021-11-30,4.1,4.330346
2021-12-31,3.9,4.138108
2022-01-31,4.0,4.0546746
2022-02-28,3.9,3.9979784
2022-03-31,3.7,3.7207527
2022-04-30,3.7,3.819173
2022-05-31,3.6,3.5820065
2022-06-30,3.6,3.610025
2022-07-31,3.5,3.7561932
2022-08-31,3.6,4.774342
2022-09-30,3.5,4.216584
2022-10-31,3.6,3.6917338
2022-11-30,3.6,3.6984842
2022-12-31,3.5,3.5951672
2023-01-31,3.5,3.5773962
2023-02-28,3.6,3.568694
2023-03-31,3.5,3.5770829
2023-04-30,3.4,3.5373108
2023-05-31,3.6,3.530515
2023-06-30,3.6,3.6455197
2023-07-31,3.5,3.5134366
2023-08-31,3.7,3.8124685
2023-09-30,3.7,4.8756437
2023-10-31,3.9,3.6436577
2023-11-30,3.7,3.7119386
2023-12-31,3.8,3.5453238
2024-01-31,3.7,3.6886997
2024-02-29,3.9,3.6064732
2024-03-31,3.9,3.86886
2024-04-30,3.9,3.7562904
2024-05-31,3.9,3.800382
2024-06-30,4.1,3.8241374
2024-07-31,4.2,3.9543514
2024-08-31,4.2,4.056743
2024-09-30,4.1,4.2341866
2024-10-31,4.1,4.142831
2024-11-30,4.2,4.1387997
2024-12-31,4.1,4.1233015
