date,file for unemployment,unemployment office,jobs near me
2004-01-01,1,21,0
2004-02-01,1,17,0
2004-03-01,1,16,0
2004-04-01,0,15,0
2004-05-01,1,13,0
2004-06-01,1,16,0
2004-07-01,1,17,0
2004-08-01,1,17,0
2004-09-01,1,16,0
2004-10-01,1,15,0
2004-11-01,1,13,0
2004-12-01,1,15,0
2005-01-01,2,17,0
2005-02-01,1,15,0
2005-03-01,1,13,0
2005-04-01,1,13,0
2005-05-01,1,14,0
2005-06-01,1,16,0
2005-07-01,1,15,0
2005-08-01,1,14,0
2005-09-01,1,16,0
2005-10-01,1,14,0
2005-11-01,1,14,0
2005-12-01,1,12,0
2006-01-01,1,17,0
2006-02-01,1,13,0
2006-03-01,1,12,0
2006-04-01,1,12,0
2006-05-01,1,14,0
2006-06-01,1,17,0
2006-07-01,1,16,0
2006-08-01,1,16,0
2006-09-01,1,15,0
2006-10-01,1,16,0
2006-11-01,1,14,0
2006-12-01,1,15,0
2007-01-01,2,20,0
2007-02-01,1,15,0
2007-03-01,1,15,0
2007-04-01,1,15,0
2007-05-01,1,15,0
2007-06-01,1,18,0
2007-07-01,1,19,0
2007-08-01,1,18,0
2007-09-01,1,16,0
2007-10-01,1,16,0
2007-11-01,2,18,0
2007-12-01,2,17,0
2008-01-01,2,22,0
2008-02-01,2,19,0
2008-03-01,2,18,0
2008-04-01,2,18,0
2008-05-01,2,18,0
2008-06-01,2,19,0
2008-07-01,3,23,0
2008-08-01,2,24,0
2008-09-01,3,25,0
2008-10-01,3,25,0
2008-11-01,4,26,0
2008-12-01,5,35,0
2009-01-01,6,42,0
2009-02-01,6,35,0
2009-03-01,5,31,0
2009-04-01,5,31,0
2009-05-01,4,27,0
2009-06-01,5,34,0
2009-07-01,5,33,0
2009-08-01,5,32,0
2009-09-01,4,27,0
2009-10-01,4,23,0
2009-11-01,4,24,0
2009-12-01,4,21,0
2010-01-01,5,27,0
2010-02-01,4,22,0
2010-03-01,4,20,0
2010-04-01,4,19,0
2010-05-01,4,19,0
2010-06-01,4,21,0
2010-07-01,4,23,0
2010-08-01,4,23,0
2010-09-01,4,19,0
2010-10-01,4,16,0
2010-11-01,4,18,0
2010-12-01,4,20,0
2011-01-01,7,29,0
2011-02-01,5,24,0
2011-03-01,4,21,0
2011-04-01,4,22,0
2011-05-01,4,21,0
2011-06-01,5,24,0
2011-07-01,5,23,0
2011-08-01,5,23,0
2011-09-01,4,21,0
2011-10-01,5,21,0
2011-11-01,4,23,0
2011-12-01,5,23,0
2012-01-01,6,29,0
2012-02-01,5,22,0
2012-03-01,4,19,0
2012-04-01,4,21,0
2012-05-01,4,22,0
2012-06-01,4,23,0
2012-07-01,5,26,0
2012-08-01,4,26,0
2012-09-01,4,24,0
2012-10-01,4,26,0
2012-11-01,4,26,0
2012-12-01,4,23,0
2013-01-01,5,31,1
2013-02-01,4,23,0
2013-03-01,4,19,0
2013-04-01,4,21,1
2013-05-01,4,19,1
2013-06-01,4,22,1
2013-07-01,4,25,1
2013-08-01,4,22,1
2013-09-01,4,21,1
2013-10-01,5,24,1
2013-11-01,4,20,1
2013-12-01,5,23,1
2014-01-01,5,28,2
2014-02-01,4,21,2
2014-03-01,4,17,2
2014-04-01,3,17,2
2014-05-01,3,15,2
2014-06-01,4,16,3
2014-07-01,4,17,3
2014-08-01,3,15,3
2014-09-01,3,16,4
2014-10-01,3,15,4
2014-11-01,3,15,4
2014-12-01,3,17,4
2015-01-01,4,20,6
2015-02-01,3,17,6
2015-03-01,3,16,6
2015-04-01,3,15,5
2015-05-01,3,14,6
2015-06-01,3,16,8
2015-07-01,3,17,9
2015-08-01,3,16,9
2015-09-01,3,16,9
2015-10-01,3,16,9
2015-11-01,3,15,8
2015-12-01,3,17,8
2016-01-01,4,21,12
2016-02-01,4,17,12
2016-03-01,3,15,13
2016-04-01,3,14,14
2016-05-01,3,15,16
2016-06-01,4,16,19
2016-07-01,3,17,19
2016-08-01,3,16,19
2016-09-01,3,14,19
2016-10-01,3,14,19
2016-11-01,3,15,17
2016-12-01,3,17,18
2017-01-01,4,22,26
2017-02-01,3,16,22
2017-03-01,3,13,22
2017-04-01,3,13,24
2017-05-01,3,15,28
2017-06-01,3,18,36
2017-07-01,3,16,36
2017-08-01,3,14,37
2017-09-01,3,13,36
2017-10-01,3,14,38
2017-11-01,3,15,36
2017-12-01,3,15,35
2018-01-01,4,20,48
2018-02-01,3,15,42
2018-03-01,3,14,41
2018-04-01,3,13,45
2018-05-01,3,12,54
2018-06-01,3,14,64
2018-07-01,3,17,65
2018-08-01,3,14,64
2018-09-01,3,11,62
2018-10-01,3,13,63
2018-11-01,3,15,59
2018-12-01,3,14,56
2019-01-01,4,18,71
2019-02-01,4,15,65
2019-03-01,3,13,64
2019-04-01,3,14,69
2019-05-01,3,13,84
2019-06-01,3,14,94
2019-07-01,3,16,88
2019-08-01,3,14,94
2019-09-01,3,13,88
2019-10-01,3,13,87
2019-11-01,3,14,84
2019-12-01,4,16,77
2020-01-01,4,18,98
2020-02-01,3,15,84
2020-03-01,76,78,70
2020-04-01,100,100,55
2020-05-01,48,65,72
2020-06-01,33,63,89
2020-07-01,28,54,85
2020-08-01,18,38,87
2020-09-01,14,30,85
2020-10-01,12,26,89
2020-11-01,11,22,79
2020-12-01,14,24,82
2021-01-01,18,30,90
2021-02-01,13,30,85
2021-03-01,13,25,72
2021-04-01,11,22,73
2021-05-01,10,21,87
2021-06-01,7,21,94
